id,is_duplicate
189998,0
189999,0
190000,0
190001,0
190002,1
190003,0
190004,1
190005,0
190006,0
190007,1
190008,0
190009,0
190010,0
190011,1
190012,0
190013,0
190014,0
190015,0
190016,0
190017,0
190018,1
190019,0
190020,0
190021,0
190022,0
190023,0
190024,0
190025,0
190026,0
190027,0
190028,1
190029,0
190030,1
190031,1
190032,0
190033,1
190034,1
190035,1
190036,0
190037,0
190038,1
190039,0
190040,0
190041,0
190042,0
190043,0
190044,0
190045,0
190046,1
190047,1
190048,0
190049,1
190050,0
190051,0
190052,1
190053,0
190054,1
190055,0
190056,1
190057,0
190058,0
190059,0
190060,1
190061,0
190062,1
190063,0
190064,0
190065,0
190066,0
190067,1
190068,0
190069,0
190070,0
190071,1
190072,0
190073,0
190074,0
190075,0
190076,1
190077,0
190078,0
190079,1
190080,1
190081,1
190082,0
190083,1
190084,0
190085,0
190086,0
190087,0
190088,0
190089,1
190090,0
190091,1
190092,0
190093,0
190094,0
190095,0
190096,0
190097,0
190098,1
190099,1
190100,0
190101,1
190102,0
190103,0
190104,0
190105,0
190106,1
190107,0
190108,0
190109,0
190110,0
190111,0
190112,0
190113,0
190114,0
190115,0
190116,0
190117,0
190118,0
190119,0
190120,0
190121,0
190122,0
190123,1
190124,0
190125,0
190126,0
190127,0
190128,0
190129,0
190130,0
190131,0
190132,0
190133,0
190134,0
190135,0
190136,0
190137,0
190138,0
190139,1
190140,0
190141,0
190142,0
190143,1
190144,0
190145,0
190146,0
190147,0
190148,0
190149,1
190150,0
190151,0
190152,0
190153,0
190154,0
190155,0
190156,1
190157,0
190158,1
190159,0
190160,0
190161,0
190162,0
190163,0
190164,0
190165,0
190166,1
190167,1
190168,0
190169,0
190170,1
190171,0
190172,0
190173,0
190174,0
190175,1
190176,0
190177,0
190178,0
190179,0
190180,1
190181,0
190182,0
190183,0
190184,0
190185,0
190186,0
190187,0
190188,1
190189,1
190190,0
190191,1
190192,0
190193,0
190194,0
190195,0
190196,0
190197,1
190198,0
190199,0
190200,0
190201,1
190202,0
190203,0
190204,1
190205,0
190206,0
190207,1
190208,0
190209,1
190210,0
190211,0
190212,1
190213,0
190214,0
190215,0
190216,0
190217,0
190218,0
190219,0
190220,0
190221,1
190222,0
190223,1
190224,0
190225,1
190226,0
190227,0
190228,0
190229,0
190230,0
190231,0
190232,0
190233,0
190234,0
190235,0
190236,1
190237,0
190238,0
190239,0
190240,1
190241,0
190242,0
190243,0
190244,1
190245,0
190246,0
190247,0
190248,0
190249,0
190250,0
190251,0
190252,0
190253,1
190254,0
190255,0
190256,1
190257,1
190258,0
190259,0
190260,0
190261,0
190262,0
190263,0
190264,0
190265,0
190266,0
190267,0
190268,0
190269,1
190270,1
190271,0
190272,0
190273,0
190274,0
190275,0
190276,0
190277,0
190278,1
190279,0
190280,1
190281,0
190282,0
190283,0
190284,0
190285,0
190286,0
190287,1
190288,1
190289,0
190290,0
190291,0
190292,0
190293,0
190294,0
190295,0
190296,0
190297,0
190298,0
190299,0
190300,0
190301,0
190302,1
190303,0
190304,0
190305,1
190306,0
190307,0
190308,1
190309,0
190310,1
190311,0
190312,0
190313,0
190314,0
190315,0
190316,0
190317,0
190318,0
190319,0
190320,0
190321,0
190322,0
190323,0
190324,0
190325,0
190326,0
190327,0
190328,0
190329,0
190330,0
190331,0
190332,0
190333,0
190334,1
190335,0
190336,0
190337,0
190338,0
190339,0
190340,0
190341,0
190342,0
190343,0
190344,1
190345,0
190346,0
190347,0
190348,1
190349,0
190350,1
190351,0
190352,0
190353,0
190354,0
190355,0
190356,0
190357,1
190358,0
190359,0
190360,0
190361,0
190362,0
190363,1
190364,0
190365,1
190366,0
190367,1
190368,0
190369,0
190370,1
190371,0
190372,1
190373,0
190374,0
190375,0
190376,0
190377,0
190378,0
190379,0
190380,0
190381,1
190382,1
190383,0
190384,0
190385,1
190386,0
190387,0
190388,0
190389,0
190390,1
190391,0
190392,0
190393,0
190394,0
190395,0
190396,0
190397,1
190398,0
190399,0
190400,0
190401,0
190402,1
190403,0
190404,1
190405,0
